"/Q (PD=1e-06,PU=1e-06) X","/Q (PD=1e-06,PU=1e-06) Y","/Q (PD=1e-06,PU=9e-08) X","/Q (PD=1e-06,PU=9e-08) Y","/Q (PD=9e-08,PU=1e-06) X","/Q (PD=9e-08,PU=1e-06) Y","/Q (PD=9e-08,PU=9e-08) X","/Q (PD=9e-08,PU=9e-08) Y","/QB (PD=1e-06,PU=1e-06) X","/QB (PD=1e-06,PU=1e-06) Y","/QB (PD=1e-06,PU=9e-08) X","/QB (PD=1e-06,PU=9e-08) Y","/QB (PD=9e-08,PU=1e-06) X","/QB (PD=9e-08,PU=1e-06) Y","/QB (PD=9e-08,PU=9e-08) X","/QB (PD=9e-08,PU=9e-08) Y"
0,0,0,0,0,0,0,0,0,1.09994715859005,0,1.099396406758566,0,1.099994070848296,0,1.099949570709114
0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,1.099910638263946,0.022,1.098964256338114,0.022,1.099991242256129,0.022,1.09991471912568
0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,1.099846121338253,0.044,1.098202311939197,0.044,1.099986143018516,0.044,1.099853114802638
0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.066,1.09973371320989,0.066,1.096876953853341,0.066,1.099977164202339,0.066,1.099745709108629
0.08800000000000001,0.08800000000000001,0.08800000000000001,0.08800000000000001,0.08800000000000001,0.08800000000000001,0.08800000000000001,0.08800000000000001,0.08800000000000001,1.099540893956447,0.08800000000000001,1.094607670477858,0.08800000000000001,1.099961672602205,0.08800000000000001,1.099561320377831
0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,1.099215746677112,0.11,1.090789867437828,0.11,1.09993545710816,0.11,1.099250071138483
0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,1.098677498243593,0.132,1.084487537551519,0.132,1.099891950343693,0.132,1.098734153464554
0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,1.097804248842422,0.154,1.074290643266347,0.154,1.099821211309494,0.154,1.097895714738022
0.176,0.176,0.176,0.176,0.176,0.176,0.176,0.176,0.176,1.096419375551201,0.176,1.058135167684616,0.176,1.099708792430728,0.176,1.096563164692225
0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,1.094281297744563,0.198,1.033034959860236,0.198,1.099534907260208,0.198,1.094500304528986
0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,1.091084401427432,0.22,0.9948156255881854,0.22,1.099274651096174,0.22,1.09140584356012
0.242,0.242,0.242,0.242,0.242,0.242,0.242,0.242,0.242,1.086477109287402,0.242,0.9370350129692523,0.242,1.098900002131308,0.242,1.086929460410669
0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,1.080092832745845,0.264,0.8474977035102219,0.264,1.098383548852231,0.264,1.080700904341181
0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,1.071576232692435,0.286,0.691978860661068,0.286,1.097702654929609,0.286,1.072355442901431
0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,1.060582547197161,0.308,0.472629586695797,0.308,1.096842159104352,0.308,1.061533530268291
0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,1.046734634780231,0.33,0.243720649068053,0.33,1.095794406597413,0.33,1.047838355505641
0.352,0.352,0.352,0.352,0.352,0.352,0.352,0.352,0.352,1.029528896675946,0.352,0.08036786567598625,0.352,1.094556875926882,0.352,1.030740732004889
0.3740000000000001,0.3740000000000001,0.3740000000000001,0.3740000000000001,0.3740000000000001,0.3740000000000001,0.3740000000000001,0.3740000000000001,0.3740000000000001,1.008211658729715,0.3740000000000001,0.04571836028619874,0.3740000000000001,1.093131602006221,0.3740000000000001,1.009450410705158
0.3960000000000001,0.3960000000000001,0.3960000000000001,0.3960000000000001,0.3960000000000001,0.3960000000000001,0.3960000000000001,0.3960000000000001,0.3960000000000001,0.981403999967108,0.3960000000000001,0.03258615406502931,0.3960000000000001,1.091517662525243,0.3960000000000001,0.9825273034006242
0.4180000000000001,0.4180000000000001,0.4180000000000001,0.4180000000000001,0.4180000000000001,0.4180000000000001,0.4180000000000001,0.4180000000000001,0.4180000000000001,0.9461723615317559,0.4180000000000001,0.02515859116549894,0.4180000000000001,1.089706411718171,0.4180000000000001,0.946964123970902
0.4400000000000001,0.4400000000000001,0.4400000000000001,0.4400000000000001,0.4400000000000001,0.4400000000000001,0.4400000000000001,0.4400000000000001,0.4400000000000001,0.8949357417636356,0.4400000000000001,0.0203599979178059,0.4400000000000001,1.087679885507018,0.4400000000000001,0.894880953826112
0.4620000000000001,0.4620000000000001,0.4620000000000001,0.4620000000000001,0.4620000000000001,0.4620000000000001,0.4620000000000001,0.4620000000000001,0.4620000000000001,0.8002288252107503,0.4620000000000001,0.01696580546611713,0.4620000000000001,1.085407613260267,0.4620000000000001,0.7965001430719008
0.4840000000000002,0.4840000000000002,0.4840000000000002,0.4840000000000002,0.4840000000000002,0.4840000000000002,0.4840000000000002,0.4840000000000002,0.4840000000000002,0.6376334709280603,0.4840000000000002,0.01442724486278263,0.4840000000000002,1.082842427608767,0.4840000000000002,0.6315379019695299
0.5060000000000001,0.5060000000000001,0.5060000000000001,0.5060000000000001,0.5060000000000001,0.5060000000000001,0.5060000000000001,0.5060000000000001,0.5060000000000001,0.4512957644863633,0.5060000000000001,0.01244195252124231,0.5060000000000001,1.079914080053784,0.5060000000000001,0.4447169290516255
0.5280000000000001,0.5280000000000001,0.5280000000000001,0.5280000000000001,0.5280000000000001,0.5280000000000001,0.5280000000000001,0.5280000000000001,0.5280000000000001,0.2747236118954903,0.5280000000000001,0.01083138593013892,0.5280000000000001,1.076518767235478,0.5280000000000001,0.2685484836330619
0.5500000000000002,0.5500000000000002,0.5500000000000002,0.5500000000000002,0.5500000000000002,0.5500000000000002,0.5500000000000002,0.5500000000000002,0.5500000000000002,0.1717539667060257,0.5500000000000002,0.009484361306364828,0.5500000000000002,1.072501103965427,0.5500000000000002,0.1673662225334468
0.5720000000000002,0.5720000000000002,0.5720000000000002,0.5720000000000002,0.5720000000000002,0.5720000000000002,0.5720000000000002,0.5720000000000002,0.5720000000000002,0.1304918843496592,0.5720000000000002,0.008328792104031542,0.5720000000000002,1.067621435258288,0.5720000000000002,0.1268648728840326
0.5940000000000002,0.5940000000000002,0.5940000000000002,0.5940000000000002,0.5940000000000002,0.5940000000000002,0.5940000000000002,0.5940000000000002,0.5940000000000002,0.1061815725920963,0.5940000000000002,0.007316478769348192,0.5940000000000002,1.061492186988525,0.5940000000000002,0.1028469977140835
0.6160000000000002,0.6160000000000002,0.6160000000000002,0.6160000000000002,0.6160000000000002,0.6160000000000002,0.6160000000000002,0.6160000000000002,0.6160000000000002,0.08861417862552726,0.6160000000000002,0.006414466511824237,0.6160000000000002,1.053440508102422,0.6160000000000002,0.08567133260365851
0.6380000000000002,0.6380000000000002,0.6380000000000002,0.6380000000000002,0.6380000000000002,0.6380000000000002,0.6380000000000002,0.6380000000000002,0.6380000000000002,0.07475959276443096,0.6380000000000002,0.005599936281246492,0.6380000000000002,1.042162330886096,0.6380000000000002,0.07208898945673985
0.6600000000000003,0.6600000000000003,0.6600000000000003,0.6600000000000003,0.6600000000000003,0.6600000000000003,0.6600000000000003,0.6600000000000003,0.6600000000000003,0.06323395839587084,0.6600000000000003,0.004857100656078236,0.6600000000000003,1.024606522519774,0.6600000000000003,0.06082438601665378
0.6820000000000003,0.6820000000000003,0.6820000000000003,0.6820000000000003,0.6820000000000003,0.6820000000000003,0.6820000000000003,0.6820000000000003,0.6820000000000003,0.05334220724339962,0.6820000000000003,0.00417528613584863,0.6820000000000003,0.9896448811605347,0.6820000000000003,0.05118767691619579
0.7040000000000003,0.7040000000000003,0.7040000000000003,0.7040000000000003,0.7040000000000003,0.7040000000000003,0.7040000000000003,0.7040000000000003,0.7040000000000003,0.04468394427461387,0.7040000000000003,0.00354773480866102,0.7040000000000003,0.8856799330086506,0.7040000000000003,0.04278010702150297
0.7260000000000003,0.7260000000000003,0.7260000000000003,0.7260000000000003,0.7260000000000003,0.7260000000000003,0.7260000000000003,0.7260000000000003,0.7260000000000003,0.03702144888802236,0.7260000000000003,0.002970834111781017,0.7260000000000003,0.7076274622474524,0.7260000000000003,0.03536366712346736
0.7480000000000003,0.7480000000000003,0.7480000000000003,0.7480000000000003,0.7480000000000003,0.7480000000000003,0.7480000000000003,0.7480000000000003,0.7480000000000003,0.03021637290398148,0.7480000000000003,0.002443565250372478,0.7480000000000003,0.5162471722724584,0.7480000000000003,0.02879841183217759
0.7700000000000004,0.7700000000000004,0.7700000000000004,0.7700000000000004,0.7700000000000004,0.7700000000000004,0.7700000000000004,0.7700000000000004,0.7700000000000004,0.0241952717886342,0.7700000000000004,0.001966991350135351,0.7700000000000004,0.3408902144313674,0.7700000000000004,0.02300819180809222
0.7920000000000004,0.7920000000000004,0.7920000000000004,0.7920000000000004,0.7920000000000004,0.7920000000000004,0.7920000000000004,0.7920000000000004,0.7920000000000004,0.01892715793274243,0.7920000000000004,0.001543618318098172,0.7920000000000004,0.2320188763835637,0.7920000000000004,0.01795833018504646
0.8140000000000004,0.8140000000000004,0.8140000000000004,0.8140000000000004,0.8140000000000004,0.8140000000000004,0.8140000000000004,0.8140000000000004,0.8140000000000004,0.0144050041217499,0.8140000000000004,0.001176494238329717,0.8140000000000004,0.1662254933179824,0.8140000000000004,0.01363737257654852
0.8360000000000004,0.8360000000000004,0.8360000000000004,0.8360000000000004,0.8360000000000004,0.8360000000000004,0.8360000000000004,0.8360000000000004,0.8360000000000004,0.01062747770173421,0.8360000000000004,0.0008680149092772583,0.8360000000000004,0.119263787335062,0.8360000000000004,0.01003933721467036
0.8580000000000004,0.8580000000000004,0.8580000000000004,0.8580000000000004,0.8580000000000004,0.8580000000000004,0.8580000000000004,0.8580000000000004,0.8580000000000004,0.007580724523830986,0.8580000000000004,0.0006186011252660028,0.8580000000000004,0.08421463523389477,0.8580000000000004,0.007146331391233218
0.8800000000000004,0.8800000000000004,0.8800000000000004,0.8800000000000004,0.8800000000000004,0.8800000000000004,0.8800000000000004,0.8800000000000004,0.8800000000000004,0.005223502326069766,0.8800000000000004,0.0004256501568647994,0.8800000000000004,0.05802339530392338,0.8800000000000004,0.004914681839360466
0.9020000000000005,0.9020000000000005,0.9020000000000005,0.9020000000000005,0.9020000000000005,0.9020000000000005,0.9020000000000005,0.9020000000000005,0.9020000000000005,0.003480967464577426,0.9020000000000005,0.0002832583270733782,0.9020000000000005,0.03889217730317079,0.9020000000000005,0.003269497782691076
0.9240000000000005,0.9240000000000005,0.9240000000000005,0.9240000000000005,0.9240000000000005,0.9240000000000005,0.9240000000000005,0.9240000000000005,0.9240000000000005,0.002250583614718219,0.9240000000000005,0.0001829690446404366,0.9240000000000005,0.02533943466984484,0.9240000000000005,0.002110697981418271
0.9460000000000005,0.9460000000000005,0.9460000000000005,0.9460000000000005,0.9460000000000005,0.9460000000000005,0.9460000000000005,0.9460000000000005,0.9460000000000005,0.001417866137835374,0.9460000000000005,0.0001152760576585072,0.9460000000000005,0.0160808902228791,0.9460000000000005,0.001328079331564822
0.9680000000000005,0.9680000000000005,0.9680000000000005,0.9680000000000005,0.9680000000000005,0.9680000000000005,0.9680000000000005,0.9680000000000005,0.9680000000000005,0.000874295247568742,0.9680000000000005,7.120024290674381e-05,0.9680000000000005,0.009973611898483944,0.9680000000000005,0.0008181026153893083
0.9900000000000005,0.9900000000000005,0.9900000000000005,0.9900000000000005,0.9900000000000005,0.9900000000000005,0.9900000000000005,0.9900000000000005,0.9900000000000005,0.0005296963631601425,0.9900000000000005,4.332369557641352e-05,0.9900000000000005,0.006066611086888067,0.9900000000000005,0.0004952547187152337
1.012,1.012,1.012,1.012,1.012,1.012,1.012,1.012,1.012,0.0003163295580682368,1.012,2.610441095616104e-05,1.012,0.003630812340669532,1.012,0.0002955770946222118
1.034,1.034,1.034,1.034,1.034,1.034,1.034,1.034,1.034,0.0001868318658272942,1.034,1.568436777020107e-05,1.034,0.002145306946552126,1.034,0.0001744931477578534
1.056,1.056,1.056,1.056,1.056,1.056,1.056,1.056,1.056,0.0001096403486886531,1.056,9.500805108942365e-06,1.056,0.001256885721793495,1.056,0.0001023666886602658
1.078000000000001,1.078000000000001,1.078000000000001,1.078000000000001,1.078000000000001,1.078000000000001,1.078000000000001,1.078000000000001,1.078000000000001,6.43964884481127e-05,1.078000000000001,5.904421743346123e-06,1.078000000000001,0.0007349086366613408,1.078000000000001,6.011523139544155e-05
1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,3.828771167570121e-05,1.1,3.858841339440743e-06,1.1,0.0004330466825328683,1.1,3.574475400078693e-05
